Type,# Fat,Date,Month,Day,Hour,Time,x,y,Year
Pedestrian,1,2016-02-19,2,5,23,23:08,-97.725656,30.23768,2016
Motorcycle,1,2016-02-26,2,5,9,09:47,-97.826296,30.389103,2016
Motor Vehicle,1,2016-03-08,3,2,10,10:48,-97.755809,30.337271,2016
Pedestrian,1,2016-03-11,3,5,5,05:12,-97.73227,30.270865,2016
Motor Vehicle,1,2016-03-16,3,3,0,00:07,-97.758001,30.267707,2016
Pedestrian,1,2016-03-18,3,5,20,20:47,-97.735195,30.247856,2016
Motor Vehicle,1,2016-03-29,3,2,23,23:59,-97.754654,30.201896,2016
Motor Vehicle,1,2016-03-24,3,4,8,08:58,-97.85995,30.158302,2016
Motorcycle,1,2016-04-01,4,5,13,13:29,-97.763114,30.500154,2016
Motorcycle,1,2016-04-08,4,5,18,18:46,-97.705781,30.232566,2016
Motorcycle,1,2016-04-19,4,2,12,12:56,-97.789896,30.470218,2016
Pedestrian,1,2016-04-22,4,5,6,06:21,-97.725935,30.375228,2016
Motorcycle,1,2016-04-23,4,6,18,18:13,-97.730194,30.239088,2016
Pedestrian,1,2016-05-01,5,7,3,03:20,-97.736223,30.261144,2016
Motor Vehicle,1,2016-05-06,5,5,23,23:18,-97.734101,30.220622,2016
Pedestrian,1,2016-05-13,5,5,14,14:17,-97.718468,30.350354,2016
Motor Vehicle,1,2016-05-20,5,5,20,20:35,-97.675053,30.352273,2016
Pedestrian,1,2016-05-22,5,7,17,17:05,-97.700158,30.316849,2016
Pedestrian,1,2016-05-25,5,3,23,23:22,-97.709204,30.311291,2016
Motor Vehicle,1,2016-05-29,5,7,9,09:05,-97.725626,30.392347,2016
Motor Vehicle,1,2016-06-02,6,4,3,03:14,-97.803406,30.471766,2016
Pedestrian,1,2016-06-07,6,2,22,22:14,-97.781239,30.430139,2016
Motor Vehicle,1,2016-06-12,6,7,3,03:32,-97.741923,30.232282,2016
Pedestrian,1,2016-07-03,7,7,22,22:30,-97.730598,30.357174,2016
Motor Vehicle,1,2016-07-06,7,3,15,15:16,-97.607401,30.334455,2016
Pedestrian,1,2016-07-09,7,6,5,05:49,-97.654923,30.399548,2016
Motor Vehicle,1,2016-07-10,7,7,6,06:40,-97.755432,30.374391,2016
Motor Vehicle,1,2016-07-20,7,3,17,17:09,-97.622248,30.20151,2016
Motor Vehicle,1,2016-07-24,7,7,2,02:30,-97.775075,30.269929,2016
Motor Vehicle,1,2016-07-23,7,6,23,23:32,-97.736062,30.437194,2016
Bicycle,1,2016-07-10,7,7,23,23:40,-97.768808,30.173442,2016
Motor Vehicle,1,2016-08-09,8,2,16,16:21,-97.792588,30.113096,2016
Pedestrian,1,2016-08-13,8,6,2,02:07,-97.736646,30.254833,2016
Motor Vehicle,1,2016-08-19,8,5,20,20:24,-97.746502,30.224041,2016
Motor Vehicle,1,2016-08-20,8,6,3,03:50,-97.668397,30.443217,2016
Pedestrian,1,2016-08-20,8,6,23,23:07,-97.785079,30.195639,2016
Motor Vehicle,1,2016-08-23,8,2,13,13:05,-97.731357,30.356425,2016
Motorcycle,1,2016-08-30,8,2,20,20:30,-97.716751,30.408162,2016
Motorcycle,1,2016-09-01,9,4,11,11:14,-97.729061,30.362911,2016
Motor Vehicle,2,2016-09-10,9,6,6,06:24,-97.813137,30.324214,2016
Motor Vehicle,1,2016-09-10,9,6,17,17:57,-97.84266,30.428784,2016
